odoo_id,odoo_name,csv_file,odoo_lst_price,odoo_default_code
init.3bd0b2ae-242d-4d91-aa2a-01398f9efa7b,MAGNESIUM SULFATE 4g SOL INJ,drugs.csv,1.00,
init.a9895529-90e3-429c-a6fc-a405a79f4fef,OXYTOCIN 10iu SOL INJ,drugs.csv,1.00,
init.b35d9a24-58ca-4e4a-bda2-15c0ebf5af65,DARROWS HALF STRENGTH SOL INJ,drugs.csv,1.00,
init.6c5a33b1-31f8-48b3-8b19-39617ded6114,DEXTROSE 5% SOL INJ,drugs.csv,1.00,
init.79800aa7-2286-4258-9a91-c71ed0017820,DEXTROSE 10% SOL INJ,drugs.csv,1.00,
init.9f373596-d0c1-403e-99e5-a00f228d8fc1,NORMAL SALINE 0.9% SOL INJ,drugs.csv,1.00,
init.96f51eb0-b2c5-47e6-8cbf-91fdbeffca5a,RINGER'S LACTACTE SOL INJ,drugs.csv,1.00,
init.53d07f5a-3cdf-4dd2-8147-9108a8aa2d3d,BACILLE CAMILE-GUERIN VACCINATION REC INJ,drugs.csv,1.00,
init.5194fb52-6386-4135-a2d8-9844660dc396,MEASLES VACCINATION REC INJ,drugs.csv,1.00,
init.5f986ca6-63b4-47b0-9ced-ef7da96a96da,PENTAVALENT VACCINE SOL INJ,drugs.csv,1.00,
init.a64d094c-df9c-4a48-b3fe-ea7aaeb543ca,PNEUMOVAX SOL INJ,drugs.csv,1.00,
init.e39a85e8-c781-4d32-9269-553260c7809b,RABIES VACCINATION REC INJ,drugs.csv,1.00,
init.43a5a53b-a0f1-4a89-a872-127a0f0381b4,TETANUS BOOSTER INJ SUSP,drugs.csv,1.00,
init.71a717bc-510e-4ff2-a8d1-1f90adb7daee,VITAMIN K 1mg SOL INJ,drugs.csv,1.00,
init.c9c09c63-00a5-47e9-babe-8034d24e01fb,POVIDONE-IODINE SOL,drugs.csv,1.00,
init.91aaa3b1-09d4-4373-bc73-5d66f4f61cac,TRAMADOL 100mg SOL INJ,drugs.csv,1.00,
init.489b19b4-8bb2-4f26-ab54-9835636de873,CHLORPROMAZINE 50mg TAB,drugs.csv,1.00,
init.a0795f11-c9c7-4f3c-af19-7518c5b0df19,RIFAMPICIN 150mg ISONIAZID 75mg PYRAZINAMIDE 400mg AND ETHAMBUTOL 275mg TAB (RHZE),drugs.csv,1.00,
init.a8861702-ab74-480d-aa01-46fe2f75e426,RIFAMPICIN 150mg ISONIAZID 75mg AND PYRAZINAMIDE 400mg TAB (RHZ),drugs.csv,1.00,
init.119530a9-620e-41c9-914f-4a111f42dbbf,RIFABUTIN 150mg TAB (RFB),drugs.csv,1.00,
init.afbcd84b-6026-4496-86d1-7ea7e06a8993,PYRAZINAMIDE 500mg (Z),drugs.csv,1.00,
init.47f27b85-d44e-4054-8352-c1f709dc5e8d,ETHAMBUTOL 400mg (E),drugs.csv,1.00,
init.c4ec5b3c-1647-4d28-b948-7a9760689bb8,ETHAMBUTOL 400mg AND ISONIZAID 150mg TAB (EH),drugs.csv,1.00,
init.a7f2f0ef-6f7c-4c31-910b-3491d1204fbd,RIFAMPICIN 150mg ISONIAZID 75mg AND ETHAMBUTOL 275mg TAB (RHE),drugs.csv,1.00,
init.5ded7061-68d0-41b3-a147-909f4a1e84fc,CHLORPROMAZINE 25mg SOL INJ,drugs.csv,1.00,
init.41d01802-b656-4d75-966b-c0ecf24a2ee7,FLUPHENAZINE 100mg TAB,drugs.csv,1.00,
init.aff086c4-6e83-4d59-99e0-078310791b7f,FLUPHENAZINE 100mg SOL INJ,drugs.csv,1.00,
init.48abb4ba-f740-4eea-b34f-fec67f9247fb,FLUPHENAZINE 25mg TAB,drugs.csv,1.00,
init.efef3ff7-04d1-458c-a50c-743b56c5fcd1,HALOPERIDOL 10mg SOL INJ,drugs.csv,1.00,
init.1f903354-ac31-4398-9cb9-973f1c82eadf,HALOPERIDOL 50mg TAB,drugs.csv,1.00,
init.846a253c-2717-40d7-8cac-6fd6d9634d93,HALOPERIDOL 50mg SOL INJ,drugs.csv,1.00,
init.aa97894f-a653-4b9e-bc67-bca3e5acac8f,VALPROATE SODIUM 200mg TAB,drugs.csv,1.00,
init.3ea9397a-9a11-4fec-b27e-85cefed515d9,VALPROATE SODIUM 500mg TAB,drugs.csv,1.00,
init.a48bd79f-bed3-4574-9a38-8f0def01ba40,FLUPHENAZINE 25mg DEP INJ,drugs.csv,1.00,
init.ef89fea0-eca1-49b2-888b-c0978a266966,HALOPERIDOL 10mg DEP INJ,drugs.csv,1.00,
init.ba3e5e43-5c83-45da-903a-753388d8f46d,HALOPERIDOL 5mg DEP INJ,drugs.csv,1.00,
init.08fd36d0-2d09-47fb-9929-5ce469e977f3,FLUPHENAZINE 12.5mg DEP INJ,drugs.csv,1.00,
init.d6418d00-aec5-4c64-92cc-090081880822,FLUPHENAZINE 50mg DEP INJ,drugs.csv,1.00,
init.aa0b26df-7d9b-4cd3-8a06-05ddadd620a0,VALPROATE SODIUM 500mg CAP,drugs.csv,1.00,
init.0714a308-817e-401d-a76a-60a05e64e19e,VALPROATE SODIUM 750mg TAB,drugs.csv,1.00,
init.384a092c-0beb-4820-8206-49325550c874,VALPROATE SODIUM 750mg CAP,drugs.csv,1.00,
init.46a7aa55-05e5-4520-b31b-a32384cb5e72,LEVOFLOXACIN 250mg TAB,drugs.csv,1.00,
init.8526b8eb-c93c-4da0-aa28-e53bdf1e8fdc,LEVOFLOXACIN 500mg TAB,drugs.csv,1.00,
init.09c1afa6-1b53-4a74-9191-7262cc3c654f,LEVOFLOXACIN 750mg TAB,drugs.csv,1.00,
init.c23445b4-afcc-49b2-94f8-8ba9865df6d6,PROTIONAMIDE 250mg TAB,drugs.csv,1.00,
init.a0f96703-96a0-403a-8c76-82eee4ef6fde,PROTIONAMIDE 500mg TAB,drugs.csv,1.00,
init.6505eb4a-db3e-4783-abeb-bbc132bcd78c,CYCLOSERINE 250mg CAP,drugs.csv,1.00,
init.29ddf3bf-deab-4d41-8c0a-1364b388ca04,CYCLOSERINE 500mg CAP,drugs.csv,1.00,
init.14e4fc28-4e60-4b9f-acef-7ddccf45fa53,KANAMYCIN SULFATE 1g SOL INJ,drugs.csv,1.00,
init.d68bfebc-5050-4a95-b54a-f8a9235a1c95,KANAMYCIN SULFATE 2g SOL INJ,drugs.csv,1.00,
init.c6af66e3-630d-4b31-bb9c-b0ea99bcbc90,CAPREOMYCIN SULFATE 1g REC INJ,drugs.csv,1.00,
init.3ad4598d-c8a4-4a80-97f9-70c372fed309,PASER 4g DEL GRAN,drugs.csv,1.00,
init.6335d2de-7e57-490f-9b13-0cefd9dd7d81,OFLOXACIN 100mg TAB,drugs.csv,1.00,
init.751cbbed-114a-4889-ac69-9d3c481e2082,OFLOXACIN 200mg TAB,drugs.csv,1.00,
